| Nº pess/|Período|data atual|TipTmp|TxtDescritTipTempos      |     Número|
|   318565| 202204|03/04/2022|0005  |Saldo horário flexível   |      7,50-|
|   318565| 202204|03/04/2022|TF01  |Flag de ausência         |      1,00 |
|   318584| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   318584| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   318584| 202204|03/04/2022|PANT  |Par final anterior a DSR |     21,65 |
|   318584| 202204|03/04/2022|NSSR  |Número Semanas s/ repouso|      1,00 |
|   318584| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   318584| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   318584| 202204|03/04/2022|NUMM  |Numero Horas Tipo Proc/ M|      9,92 |
|   318584| 202204|03/04/2022|JREA  |Jornada Realizada        |      9,92 |
|   318584| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      9,92 |
|   318584| 202204|03/04/2022|2843  |Intervalo Intrajornada   |     10,92 |
|   318584| 202204|03/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      9,92 |
|   318584| 202204|03/04/2022|BRT1  |Horas extra categoria 1  |    100,00 |
|   318584| 202204|03/04/2022|0310  |Hrs/extrs/não autor/pres/|     10,92 |
|   318584| 202204|03/04/2022|0110  |Período variável Presença|     10,92 |
|   318584| 202204|03/04/2022|0010  |Presença                 |     10,92 |
|   318584| 202204|03/04/2022|0301  |Hrs/extras não autorizad/|     10,92 |
|   318584| 202204|03/04/2022|2700  |Saldo Semanal BH         |      0,18-|
|   318584| 202204|03/04/2022|E303  |Repouso Remunerado       |      7,33 |
|   318584| 202204|03/04/2022|E711  |Hrs Extras Dom/Fer100%   |      9,92 |
|   318584| 202204|03/04/2022|8711  |Hrs Extras Dom/Fer100%   |      9,92 |
|   318584| 202204|03/04/2022|E411  |Hrs Extras Dom/Fer100%   |      9,92 |
|   318584| 202204|03/04/2022|2350  |Jornada Mensal           |      7,33 |
|   318584| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|      7,14-|
|   318584| 202204|03/04/2022|0050  |Horas produtivas         |     10,92 |
|   318584| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|     10,92 |
|   325096| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   325096| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   325096| 202204|03/04/2022|PANT  |Par final anterior a DSR |     13,20 |
|   325096| 202204|03/04/2022|NSSR  |Número Semanas s/ repouso|      1,00 |
|   325096| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   325096| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   325096| 202204|03/04/2022|NUMM  |Numero Horas Tipo Proc/ M|      7,38 |
|   325096| 202204|03/04/2022|JREA  |Jornada Realizada        |      7,38 |
|   325096| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      7,38 |
|   325096| 202204|03/04/2022|2843  |Intervalo Intrajornada   |      8,38 |
|   325096| 202204|03/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      7,20 |
|   325096| 202204|03/04/2022|BRT1  |Horas extra categoria 1  |    100,00 |
|   325096| 202204|03/04/2022|BRN2  |HrsExtra turno noite Ctg2|      0,18 |
|   325096| 202204|03/04/2022|BRT2  |Horas extra categoria 2  |    100,00 |
|   325096| 202204|03/04/2022|0310  |Hrs/extrs/não autor/pres/|      8,38 |
|   325096| 202204|03/04/2022|0110  |Período variável Presença|      8,38 |
|   325096| 202204|03/04/2022|0010  |Presença                 |      8,38 |
|   325096| 202204|03/04/2022|0301  |Hrs/extras não autorizad/|      8,38 |
|   325096| 202204|03/04/2022|2700  |Saldo Semanal BH         |      3,43-|
|   325096| 202204|03/04/2022|E303  |Repouso Remunerado       |      7,33 |
|   325096| 202204|03/04/2022|E711  |Hrs Extras Dom/Fer100%   |      7,38 |
|   325096| 202204|03/04/2022|8711  |Hrs Extras Dom/Fer100%   |      7,38 |
|   325096| 202204|03/04/2022|E411  |Hrs Extras Dom/Fer100%   |      7,38 |
|   325096| 202204|03/04/2022|E468  |Ad Not 25% S/ HE 100% D/F|      0,18 |
|   325096| 202204|03/04/2022|2350  |Jornada Mensal           |      7,33 |
|   325096| 202204|03/04/2022|0050  |Horas produtivas         |      8,38 |
|   325096| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      8,38 |
|   332708| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   332708| 202204|03/04/2022|PAND  |Par inicial  teórico dia |     13,33 |
|   332708| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     13,33 |
|   332708| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   332708| 202204|03/04/2022|PANT  |Par final anterior a DSR |     21,63 |
|   332708| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   332708| 202204|03/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,10 |
|   332708| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   332708| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   332708| 202204|03/04/2022|JREA  |Jornada Realizada        |      7,43 |
|   332708| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      7,43 |
|   332708| 202204|03/04/2022|2837  |Horas Normais            |      7,33 |
|   332708| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   332708| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   332708| 202204|03/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,10 |
|   332708| 202204|03/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   332708| 202204|03/04/2022|2502  |Banco de Horas 60%       |      0,10 |
|   332708| 202204|03/04/2022|2700  |Saldo Semanal BH         |      3,07-|
|   332708| 202204|03/04/2022|2701  |Saldo Mensal BH          |      0,10 |
|   332708| 202204|03/04/2022|E502  |Bco Hrs 60%              |      0,10 |
|   332708| 202204|03/04/2022|8704  |Hrs Extras 60%           |      0,10 |
|   332708| 202204|03/04/2022|0310  |Hrs/extrs/não autor/pres/|      0,10 |
|   332708| 202204|03/04/2022|0110  |Período variável Presença|      7,43 |
|   332708| 202204|03/04/2022|0010  |Presença                 |      7,43 |
|   332708| 202204|03/04/2022|0301  |Hrs/extras não autorizad/|      0,10 |
|   332708| 202204|03/04/2022|0100  |Período variável         |      7,33 |
|   332708| 202204|03/04/2022|0003  |Horário individual       |      7,33 |
|   332708| 202204|03/04/2022|0500  |Intervalo                |      1,00 |
|   332708| 202204|03/04/2022|E837  |Hrs Normais              |      7,33 |
|   332708| 202204|03/04/2022|BRCO  |Compensação horária      |      0,10 |
|   332708| 202204|03/04/2022|2350  |Jornada Mensal           |      7,33 |
|   332708| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|      2,32-|
|   332708| 202204|03/04/2022|0002  |Tempo teórico            |      7,33 |
|   332708| 202204|03/04/2022|0005  |Saldo horário flexível   |      0,00 |
|   332708| 202204|03/04/2022|0050  |Horas produtivas         |      7,43 |
|   332708| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      7,43 |
|   342147| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   342147| 202204|03/04/2022|PAND  |Par inicial  teórico dia |     20,75 |
|   342147| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     20,75 |
|   342147| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   342147| 202204|03/04/2022|PANT  |Par final anterior a DSR |     28,42 |
|   342147| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   342147| 202204|03/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      1,12 |
|   342147| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   342147| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      6,38 |
|   342147| 202204|03/04/2022|JREA  |Jornada Realizada        |      6,38 |
|   342147| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      6,38 |
|   342147| 202204|03/04/2022|2837  |Horas Normais            |      6,38 |
|   342147| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      7,16 |
|   342147| 202204|03/04/2022|DSNT  |Hrs noturnas trab//dia   |      5,42 |
|   342147| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      0,97 |
|   342147| 202204|03/04/2022|BRTN  |Hrs/trabalho turno noite |      5,42 |
|   342147| 202204|03/04/2022|9100  |Redução Noturna          |      2,38 |
|   342147| 202204|03/04/2022|2400  |Horas Compensadas        |      1,12-|
|   342147| 202204|03/04/2022|2700  |Saldo Semanal BH         |      0,36 |
|   342147| 202204|03/04/2022|2701  |Saldo Mensal BH          |      1,12-|
|   342147| 202204|03/04/2022|3457  |Jorn Compens Banco Horas |      1,12 |
|   342147| 202204|03/04/2022|0110  |Período variável Presença|      6,38 |
|   342147| 202204|03/04/2022|0100  |Período variável         |      6,38 |
|   342147| 202204|03/04/2022|0010  |Presença                 |      6,38 |
|   342147| 202204|03/04/2022|0003  |Horário individual       |      6,38 |
|   342147| 202204|03/04/2022|0500  |Intervalo                |      1,00 |
|   342147| 202204|03/04/2022|E837  |Hrs Normais              |      6,38 |
|   342147| 202204|03/04/2022|E455  |Adicional Noturno 25%    |      6,19 |
|   342147| 202204|03/04/2022|BRCO  |Compensação horária      |      1,12-|
|   342147| 202204|03/04/2022|2350  |Jornada Mensal           |      6,38 |
|   342147| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|      2,48-|
|   342147| 202204|03/04/2022|9357  |Bco Hrs Compensadas      |      1,12-|
|   342147| 202204|03/04/2022|4457  |Jorn Comp/ Banco Horas   |      1,12-|
|   342147| 202204|03/04/2022|0002  |Tempo teórico            |      7,50 |
|   342147| 202204|03/04/2022|0005  |Saldo horário flexível   |      1,12-|
|   342147| 202204|03/04/2022|0050  |Horas produtivas         |      6,38 |
|   342147| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      6,38 |
|   496224| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   496224| 202204|03/04/2022|PAND  |Par inicial  teórico dia |     13,33 |
|   496224| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     13,33 |
|   496224| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   496224| 202204|03/04/2022|PANT  |Par final anterior a DSR |     21,85 |
|   496224| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   496224| 202204|03/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,35 |
|   496224| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   496224| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   496224| 202204|03/04/2022|JREA  |Jornada Realizada        |      7,68 |
|   496224| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      7,68 |
|   496224| 202204|03/04/2022|2837  |Horas Normais            |      7,33 |
|   496224| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   496224| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   496224| 202204|03/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,35 |
|   496224| 202204|03/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   496224| 202204|03/04/2022|2502  |Banco de Horas 60%       |      0,35 |
|   496224| 202204|03/04/2022|2700  |Saldo Semanal BH         |      2,22-|
|   496224| 202204|03/04/2022|2701  |Saldo Mensal BH          |      0,35 |
|   496224| 202204|03/04/2022|E502  |Bco Hrs 60%              |      0,35 |
|   496224| 202204|03/04/2022|8704  |Hrs Extras 60%           |      0,35 |
|   496224| 202204|03/04/2022|0310  |Hrs/extrs/não autor/pres/|      0,35 |
|   496224| 202204|03/04/2022|0110  |Período variável Presença|      7,68 |
|   496224| 202204|03/04/2022|0010  |Presença                 |      7,68 |
|   496224| 202204|03/04/2022|0301  |Hrs/extras não autorizad/|      0,35 |
|   496224| 202204|03/04/2022|0100  |Período variável         |      7,33 |
|   496224| 202204|03/04/2022|0003  |Horário individual       |      7,33 |
|   496224| 202204|03/04/2022|0500  |Intervalo                |      1,00 |
|   496224| 202204|03/04/2022|E837  |Hrs Normais              |      7,33 |
|   496224| 202204|03/04/2022|BRCO  |Compensação horária      |      0,35 |
|   496224| 202204|03/04/2022|2350  |Jornada Mensal           |      7,33 |
|   496224| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|      0,93-|
|   496224| 202204|03/04/2022|0002  |Tempo teórico            |      7,33 |
|   496224| 202204|03/04/2022|0005  |Saldo horário flexível   |      0,00 |
|   496224| 202204|03/04/2022|0050  |Horas produtivas         |      7,68 |
|   496224| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      7,68 |
|   519015| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   519015| 202204|03/04/2022|PAND  |Par inicial  teórico dia |     13,33 |
|   519015| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     13,33 |
|   519015| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   519015| 202204|03/04/2022|PANT  |Par final anterior a DSR |     16,00 |
|   519015| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   519015| 202204|03/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      1,33 |
|   519015| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   519015| 202204|03/04/2022|NUMQ  |Numero Horas Tipo Proc/ Q|      3,33 |
|   519015| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      2,67 |
|   519015| 202204|03/04/2022|JREA  |Jornada Realizada        |      6,00 |
|   519015| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      6,00 |
|   519015| 202204|03/04/2022|2837  |Horas Normais            |      2,67 |
|   519015| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      2,67 |
|   519015| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      6,00 |
|   519015| 202204|03/04/2022|2400  |Horas Compensadas        |      1,33-|
|   519015| 202204|03/04/2022|2700  |Saldo Semanal BH         |      0,81-|
|   519015| 202204|03/04/2022|2701  |Saldo Mensal BH          |      1,33-|
|   519015| 202204|03/04/2022|3457  |Jorn Compens Banco Horas |      1,33 |
|   519015| 202204|03/04/2022|0310  |Hrs/extrs/não autor/pres/|      3,33 |
|   519015| 202204|03/04/2022|0110  |Período variável Presença|      6,00 |
|   519015| 202204|03/04/2022|0010  |Presença                 |      6,00 |
|   519015| 202204|03/04/2022|0301  |Hrs/extras não autorizad/|      3,33 |
|   519015| 202204|03/04/2022|0100  |Período variável         |      6,00 |
|   519015| 202204|03/04/2022|0003  |Horário individual       |      6,00 |
|   519015| 202204|03/04/2022|0120  |Período variável Ausência|      3,33 |
|   519015| 202204|03/04/2022|0020  |Ausência                 |      3,33 |
|   519015| 202204|03/04/2022|E837  |Hrs Normais              |      6,00 |
|   519015| 202204|03/04/2022|BRCO  |Compensação horária      |      1,33-|
|   519015| 202204|03/04/2022|2350  |Jornada Mensal           |      6,00 |
|   519015| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|     10,91-|
|   519015| 202204|03/04/2022|9357  |Bco Hrs Compensadas      |      1,33-|
|   519015| 202204|03/04/2022|4457  |Jorn Comp/ Banco Horas   |      1,33-|
|   519015| 202204|03/04/2022|0002  |Tempo teórico            |      7,33 |
|   519015| 202204|03/04/2022|0005  |Saldo horário flexível   |      1,33-|
|   519015| 202204|03/04/2022|0050  |Horas produtivas         |      6,00 |
|   519015| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      6,00 |
|   554599| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   554599| 202204|03/04/2022|PAND  |Par inicial  teórico dia |     13,33 |
|   554599| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     13,33 |
|   554599| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   554599| 202204|03/04/2022|PANT  |Par final anterior a DSR |     15,98 |
|   554599| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   554599| 202204|03/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      1,00 |
|   554599| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      2,00 |
|   554599| 202204|03/04/2022|NUMQ  |Numero Horas Tipo Proc/ Q|      4,68 |
|   554599| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      2,65 |
|   554599| 202204|03/04/2022|JREA  |Jornada Realizada        |      8,33 |
|   554599| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      8,33 |
|   554599| 202204|03/04/2022|2837  |Horas Normais            |      2,65 |
|   554599| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      2,65 |
|   554599| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   554599| 202204|03/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      1,00 |
|   554599| 202204|03/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   554599| 202204|03/04/2022|2502  |Banco de Horas 60%       |      1,00 |
|   554599| 202204|03/04/2022|2700  |Saldo Semanal BH         |      0,95 |
|   554599| 202204|03/04/2022|2701  |Saldo Mensal BH          |      1,00 |
|   554599| 202204|03/04/2022|E502  |Bco Hrs 60%              |      1,00 |
|   554599| 202204|03/04/2022|8704  |Hrs Extras 60%           |      1,00 |
|   554599| 202204|03/04/2022|0310  |Hrs/extrs/não autor/pres/|      6,68 |
|   554599| 202204|03/04/2022|0110  |Período variável Presença|      9,33 |
|   554599| 202204|03/04/2022|0010  |Presença                 |      9,33 |
|   554599| 202204|03/04/2022|0301  |Hrs/extras não autorizad/|      6,68 |
|   554599| 202204|03/04/2022|0100  |Período variável         |      7,33 |
|   554599| 202204|03/04/2022|0003  |Horário individual       |      7,33 |
|   554599| 202204|03/04/2022|0120  |Período variável Ausência|      4,68 |
|   554599| 202204|03/04/2022|0020  |Ausência                 |      4,68 |
|   554599| 202204|03/04/2022|E837  |Hrs Normais              |      7,33 |
|   554599| 202204|03/04/2022|BRCO  |Compensação horária      |      1,00 |
|   554599| 202204|03/04/2022|2350  |Jornada Mensal           |      7,33 |
|   554599| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|      4,05-|
|   554599| 202204|03/04/2022|0002  |Tempo teórico            |      7,33 |
|   554599| 202204|03/04/2022|0005  |Saldo horário flexível   |      0,00 |
|   554599| 202204|03/04/2022|0050  |Horas produtivas         |      9,33 |
|   554599| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      9,33 |
|   613939| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   613939| 202204|03/04/2022|PAND  |Par inicial  teórico dia |     20,75 |
|   613939| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     20,75 |
|   613939| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   613939| 202204|03/04/2022|PANT  |Par final anterior a DSR |     29,32 |
|   613939| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   613939| 202204|03/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      0,23 |
|   613939| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   613939| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,27 |
|   613939| 202204|03/04/2022|JREA  |Jornada Realizada        |      7,27 |
|   613939| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      7,27 |
|   613939| 202204|03/04/2022|2837  |Horas Normais            |      7,27 |
|   613939| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      8,12 |
|   613939| 202204|03/04/2022|DSNT  |Hrs noturnas trab//dia   |      6,00 |
|   613939| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      1,27 |
|   613939| 202204|03/04/2022|BRTN  |Hrs/trabalho turno noite |      6,00 |
|   613939| 202204|03/04/2022|9100  |Redução Noturna          |      3,05 |
|   613939| 202204|03/04/2022|2400  |Horas Compensadas        |      0,23-|
|   613939| 202204|03/04/2022|2700  |Saldo Semanal BH         |      0,85-|
|   613939| 202204|03/04/2022|2701  |Saldo Mensal BH          |      0,23-|
|   613939| 202204|03/04/2022|3457  |Jorn Compens Banco Horas |      0,23 |
|   613939| 202204|03/04/2022|0110  |Período variável Presença|      7,27 |
|   613939| 202204|03/04/2022|0100  |Período variável         |      7,27 |
|   613939| 202204|03/04/2022|0010  |Presença                 |      7,27 |
|   613939| 202204|03/04/2022|0003  |Horário individual       |      7,27 |
|   613939| 202204|03/04/2022|0500  |Intervalo                |      1,00 |
|   613939| 202204|03/04/2022|E837  |Hrs Normais              |      7,27 |
|   613939| 202204|03/04/2022|E455  |Adicional Noturno 25%    |      6,86 |
|   613939| 202204|03/04/2022|BRCO  |Compensação horária      |      0,23-|
|   613939| 202204|03/04/2022|2350  |Jornada Mensal           |      7,27 |
|   613939| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|      0,78-|
|   613939| 202204|03/04/2022|9357  |Bco Hrs Compensadas      |      0,23-|
|   613939| 202204|03/04/2022|4457  |Jorn Comp/ Banco Horas   |      0,23-|
|   613939| 202204|03/04/2022|0002  |Tempo teórico            |      7,50 |
|   613939| 202204|03/04/2022|0005  |Saldo horário flexível   |      0,23-|
|   613939| 202204|03/04/2022|0050  |Horas produtivas         |      7,27 |
|   613939| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      7,27 |
|   624319| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   624319| 202204|03/04/2022|PAND  |Par inicial  teórico dia |     20,75 |
|   624319| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     20,75 |
|   624319| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   624319| 202204|03/04/2022|PANT  |Par final anterior a DSR |     29,30 |
|   624319| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   624319| 202204|03/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      0,50 |
|   624319| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   624319| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,00 |
|   624319| 202204|03/04/2022|JREA  |Jornada Realizada        |      7,00 |
|   624319| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      7,00 |
|   624319| 202204|03/04/2022|2837  |Horas Normais            |      7,00 |
|   624319| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      7,86 |
|   624319| 202204|03/04/2022|DSNT  |Hrs noturnas trab//dia   |      6,00 |
|   624319| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      1,00 |
|   624319| 202204|03/04/2022|BRTN  |Hrs/trabalho turno noite |      6,00 |
|   624319| 202204|03/04/2022|9100  |Redução Noturna          |      3,05 |
|   624319| 202204|03/04/2022|2400  |Horas Compensadas        |      0,50-|
|   624319| 202204|03/04/2022|2700  |Saldo Semanal BH         |      0,22 |
|   624319| 202204|03/04/2022|2701  |Saldo Mensal BH          |      0,50-|
|   624319| 202204|03/04/2022|3457  |Jorn Compens Banco Horas |      0,50 |
|   624319| 202204|03/04/2022|0110  |Período variável Presença|      7,00 |
|   624319| 202204|03/04/2022|0100  |Período variável         |      7,00 |
|   624319| 202204|03/04/2022|0010  |Presença                 |      7,00 |
|   624319| 202204|03/04/2022|0003  |Horário individual       |      7,00 |
|   624319| 202204|03/04/2022|0500  |Intervalo                |      1,00 |
|   624319| 202204|03/04/2022|E837  |Hrs Normais              |      7,00 |
|   624319| 202204|03/04/2022|E455  |Adicional Noturno 25%    |      6,86 |
|   624319| 202204|03/04/2022|BRCO  |Compensação horária      |      0,50-|
|   624319| 202204|03/04/2022|2350  |Jornada Mensal           |      7,00 |
|   624319| 202204|03/04/2022|9400  |Bco Hrs Compensadas 16-31|      1,73-|
|   624319| 202204|03/04/2022|9357  |Bco Hrs Compensadas      |      0,50-|
|   624319| 202204|03/04/2022|4457  |Jorn Comp/ Banco Horas   |      0,50-|
|   624319| 202204|03/04/2022|0002  |Tempo teórico            |      7,50 |
|   624319| 202204|03/04/2022|0005  |Saldo horário flexível   |      0,50-|
|   624319| 202204|03/04/2022|0050  |Horas produtivas         |      7,00 |
|   624319| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      7,00 |
|   658953| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   658953| 202204|03/04/2022|PAND  |Par inicial  teórico dia |      5,00 |
|   658953| 202204|03/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |      5,00 |
|   658953| 202204|03/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   658953| 202204|03/04/2022|PANT  |Par final anterior a DSR |     13,33 |
|   658953| 202204|03/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   658953| 202204|03/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,15 |
|   658953| 202204|03/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   658953| 202204|03/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   658953| 202204|03/04/2022|JREA  |Jornada Realizada        |      7,48 |
|   658953| 202204|03/04/2022|JRES  |Jornada Realizada Sadia  |      7,48 |
|   658953| 202204|03/04/2022|2837  |Horas Normais            |      7,33 |
|   658953| 202204|03/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   658953| 202204|03/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   658953| 202204|03/04/2022|BRN1  |HrsExtra turno noite Ctg1|      0,15 |
|   658953| 202204|03/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   658953| 202204|03/04/2022|2502  |Banco de Horas 60%       |      0,15 |
|   658953| 202204|03/04/2022|2700  |Saldo Semanal BH         |      1,38-|
|   658953| 202204|03/04/2022|2701  |Saldo Mensal BH          |      0,15 |
|   658953| 202204|03/04/2022|E502  |Bco Hrs 60%              |      0,15 |
|   658953| 202204|03/04/2022|8704  |Hrs Extras 60%           |      0,15 |
|   658953| 202204|03/04/2022|0310  |Hrs/extrs/não autor/pres/|      0,15 |
|   658953| 202204|03/04/2022|0110  |Período variável Presença|      7,48 |
|   658953| 202204|03/04/2022|0010  |Presença                 |      7,48 |
|   658953| 202204|03/04/2022|0301  |Hrs/extras não autorizad/|      0,15 |
|   658953| 202204|03/04/2022|0100  |Período variável         |      7,33 |
|   658953| 202204|03/04/2022|0003  |Horário individual       |      7,33 |
|   658953| 202204|03/04/2022|0500  |Intervalo                |      1,00 |
|   658953| 202204|03/04/2022|E837  |Hrs Normais              |      7,33 |
|   658953| 202204|03/04/2022|E565  |Ad Not 25% S/ HE 60%     |      0,15 |
|   658953| 202204|03/04/2022|BRCO  |Compensação horária      |      0,15 |
|   658953| 202204|03/04/2022|2350  |Jornada Mensal           |      7,33 |
|   658953| 202204|03/04/2022|0002  |Tempo teórico            |      7,33 |
|   658953| 202204|03/04/2022|0050  |Horas produtivas         |      7,48 |
|   658953| 202204|03/04/2022|0051  |Hrs/produtivas acumuladas|      7,48 |
|   660862| 202204|03/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
